,log10_facs
Gal4Full_HOdGal4_B09,3.300491140590977
Gal4Full_HOdGal4_D02,3.318280436086987
Gal4Full_HOdGal4_B07,3.338500313440884
Gal4Full_HOdGal4_C06,3.3410921021624924
Gal4Full_HOdGal4_A06,3.3474197851382774
Gal4Full_HOdGal4_C05,3.3526512898730143
Gal4Full_HOdGal4_D07,3.3543255565034746
Gal4Full_HOdGal4_D12,3.3640742218891493
Gal4Full_HOdGal4_C07,3.3724885344987565
Gal4Full_HOdGal4_A04,3.375363638259887
Gal4Full_HOdGal4_D05,3.376635358139011
Gal4Full_HOdGal4_B12,3.3837202362239935
Gal4Full_HOdGal4_B08,3.3881482916522563
Gal4Full_HOdGal4_C12,3.3888433335907453
Gal4Full_HOdGal4_A05,3.3911521966292373
Gal4Full_HOdGal4_B02,3.3978548803073614
Gal4Full_HOdGal4_B01,3.4097827177427975
Gal4Full_HOdGal4_A01,3.420244631607106
Gal4Full_HOdGal4_D10,3.4279289383552736
Gal4Full_HOdGal4_A10,3.4400301508268427
Gal4Full_HOdGal4_B10,3.501693133350658
Gal4Full_HOdGal4_D03,3.517470390654702
Gal4Full_HOdGal4_D11,3.5216962928586595
Gal4Full_HOdGal4_C01,3.5233978600130347
Gal4Full_HOdGal4_D04,3.5697436530912854
Gal4Full_HOdGal4_C04,3.6069722055085727
Gal4Full_HOdGal4_B05,3.6242748928607567
Gal4Full_HOdGal4_B03,3.6349133687740447
Gal4Full_HOdGal4_B06,3.6366613769358964
Gal4Full_HOdGal4_A07,3.679486940506621
Gal4Full_HOdGal4_B04,3.7221351798251874
Gal4Full_HOdGal4_C02,3.7350516875226987
Gal4Full_HOdGal4_TEF.1,3.9876501639390147
Gal4Full_HOdGal4_TEF,3.9948211152492448
Gal4Full_HOdGal4_A11,4.000707738649985
Gal4Full_HOdGal4_TEF.2,4.012467304192962
Gal4Full_HOdGal4_B11,4.020434201764301
Gal4Full_HOdGal4_C08,4.035838221569138
Gal4Full_HOdGal4_A09,4.082799548167889
Gal4Full_HOdGal4_D08,4.103247004627654
Gal4Full_HOdGal4_A12,4.15510395748298
